OrderID,CustomerID,Country,Product,Category,Subcategory,Quantity,UnitPrice_AED,LineTotal_AED
11,C001960,United Arab Emirates,Chocolate,Snacks & Sweets,Snacks/sweets,1,6.93,6.93
12,C001686,United Arab Emirates,Citrus Fruit,Produce,Fruit,1,7.21,7.21
12,C001686,United Arab Emirates,Tropical Fruit,Produce,Fruit,1,8.32,8.32
12,C001686,United Arab Emirates,Whole Milk,Dairy & Eggs,Dairy/eggs,1,6.69,6.69
12,C001686,United Arab Emirates,Butter,Dairy & Eggs,Dairy/eggs,1,8.58,8.58
12,C001686,United Arab Emirates,Curd,Dairy & Eggs,Dairy/eggs,1,7.95,7.95
12,C001686,United Arab Emirates,Yogurt,Dairy & Eggs,Dairy/eggs,1,3.47,3.47
12,C001686,United Arab Emirates,Flour,Pantry,Staples,1,10.11,10.11
12,C001686,United Arab Emirates,Bottled Water,Beverages,Non-alcoholic,6,38.9,233.4
12,C001686,United Arab Emirates,Dishes,Household,General merchandise,1,15.16,15.16
13,C001643,Saudi Arabia,Beef,Meat & Seafood,Fresh meat,1,32.45,32.45
14,C002811,United Arab Emirates,Frankfurter,Meat & Seafood,Deli & processed,1,28.51,28.51
14,C002811,United Arab Emirates,Rolls/Buns,Bakery,Bread & baked goods,2,5.5,11.0
14,C002811,United Arab Emirates,Soda,Beverages,Non-alcoholic,1,40.75,40.75
15,C002357,Saudi Arabia,Chicken,Meat & Seafood,Fresh meat,1,22.3,22.3
15,C002357,Saudi Arabia,Tropical Fruit,Produce,Fruit,1,7.53,7.53
16,C001316,Kuwait,Butter,Dairy & Eggs,Dairy/eggs,1,9.62,9.62
16,C001316,Kuwait,Sugar,Pantry,Staples,1,7.81,7.81
16,C001316,Kuwait,Fruit/Vegetable Juice,Beverages,Non-alcoholic,1,34.76,34.76
16,C001316,Kuwait,Newspapers,Household,General merchandise,1,13.91,13.91
17,C000039,United Arab Emirates,Fruit/Vegetable Juice,Beverages,Non-alcoholic,1,36.3,36.3
18,C000995,United Arab Emirates,Packaged Fruit/Vegetables,Produce,Vegetables & herbs,1,6.87,6.87
19,C002998,Oman,Chocolate,Snacks & Sweets,Snacks/sweets,1,5.04,5.04
20,C002130,United Arab Emirates,Specialty Bar,Snacks & Sweets,Snacks/sweets,1,7.32,7.32
21,C000548,United Arab Emirates,Other Vegetables,Produce,Vegetables & herbs,1,6.01,6.01
22,C002467,United Arab Emirates,Butter Milk,Dairy & Eggs,Dairy/eggs,1,5.98,5.98
22,C002467,United Arab Emirates,Pastry,Bakery,Bread & baked goods,1,5.23,5.23
23,C001255,United Arab Emirates,Whole Milk,Dairy & Eggs,Dairy/eggs,1,6.55,6.55
24,C001531,United Arab Emirates,Tropical Fruit,Produce,Fruit,1,8.03,8.03
24,C001531,United Arab Emirates,Cream Cheese ,Dairy & Eggs,Dairy/eggs,1,7.39,7.39
24,C001531,United Arab Emirates,Processed Cheese,Dairy & Eggs,Dairy/eggs,1,7.49,7.49
24,C001531,United Arab Emirates,Detergent,Household,Cleaning & laundry,1,31.13,31.13
24,C001531,United Arab Emirates,Newspapers,Household,General merchandise,1,13.25,13.25
25,C001011,United Arab Emirates,Tropical Fruit,Produce,Fruit,1,8.05,8.05
25,C001011,United Arab Emirates,Root Vegetables,Produce,Vegetables & herbs,2,5.92,11.84
25,C001011,United Arab Emirates,Other Vegetables,Produce,Vegetables & herbs,1,7.3,7.3
25,C001011,United Arab Emirates,Frozen Dessert,Frozen,Desserts,1,10.98,10.98
25,C001011,United Arab Emirates,Rolls/Buns,Bakery,Bread & baked goods,1,4.64,4.64
25,C001011,United Arab Emirates,Flour,Pantry,Staples,2,8.58,17.16
25,C001011,United Arab Emirates,Sweet Spreads,Pantry,Condiments & spreads,2,11.3,22.6
25,C001011,United Arab Emirates,Salty Snack,Snacks & Sweets,Snacks/sweets,1,7.57,7.57
25,C001011,United Arab Emirates,Waffles,Bakery,Bread & baked goods,2,6.93,13.86
25,C001011,United Arab Emirates,Candy,Snacks & Sweets,Snacks/sweets,1,4.05,4.05
25,C001011,United Arab Emirates,Bathroom Cleaner,Household,Cleaning & laundry,1,17.49,17.49
26,C000997,United Arab Emirates,Bottled Water,Beverages,Non-alcoholic,1,51.73,51.73
26,C000997,United Arab Emirates,Canned Beer,Beverages,Alcohol,6,46.27,277.62
27,C000422,Bahrain,Yogurt,Dairy & Eggs,Dairy/eggs,4,2.85,11.4
28,C001596,Saudi Arabia,Sausage,Meat & Seafood,Deli & processed,1,17.53,17.53
28,C001596,Saudi Arabia,Rolls/Buns,Bakery,Bread & baked goods,1,5.05,5.05
28,C001596,Saudi Arabia,Soda,Beverages,Non-alcoholic,1,40.22,40.22
28,C001596,Saudi Arabia,Chocolate,Snacks & Sweets,Snacks/sweets,1,5.47,5.47
29,C001409,Oman,Other Vegetables,Produce,Vegetables & herbs,1,5.76,5.76
30,C001345,United Arab Emirates,Brown Bread,Bakery,Bread & baked goods,1,5.75,5.75
30,C001345,United Arab Emirates,Soda,Beverages,Non-alcoholic,1,40.76,40.76
30,C001345,United Arab Emirates,Fruit/Vegetable Juice,Beverages,Non-alcoholic,1,43.15,43.15
30,C001345,United Arab Emirates,Canned Beer,Beverages,Alcohol,1,42.94,42.94
30,C001345,United Arab Emirates,Newspapers,Household,General merchandise,1,15.42,15.42
30,C001345,United Arab Emirates,Shopping Bags,Household,General merchandise,2,0.51,1.02
31,C002752,United Arab Emirates,Yogurt,Dairy & Eggs,Dairy/eggs,2,2.54,5.08
31,C002752,United Arab Emirates,Beverages,Beverages,Non-alcoholic,1,35.23,35.23
31,C002752,United Arab Emirates,Bottled Water,Beverages,Non-alcoholic,1,29.05,29.05
31,C002752,United Arab Emirates,Specialty Bar,Snacks & Sweets,Snacks/sweets,1,5.25,5.25
32,C000527,United Arab Emirates,Hamburger Meat,Meat & Seafood,Fresh meat,1,19.52,19.52
32,C000527,United Arab Emirates,Other Vegetables,Produce,Vegetables & herbs,1,7.1,7.1
32,C000527,United Arab Emirates,Rolls/Buns,Bakery,Bread & baked goods,1,6.01,6.01
32,C000527,United Arab Emirates,Spices,Pantry,Condiments & spreads,3,10.25,30.75
32,C000527,United Arab Emirates,Bottled Water,Beverages,Non-alcoholic,1,43.78,43.78
32,C000527,United Arab Emirates,Hygiene Articles,Personal care,Health & beauty,1,24.1,24.1
32,C000527,United Arab Emirates,Napkins,Household,Paper goods,2,13.05,26.1
33,C000403,United Arab Emirates,Root Vegetables,Produce,Vegetables & herbs,2,5.92,11.84
33,C000403,United Arab Emirates,Other Vegetables,Produce,Vegetables & herbs,1,6.79,6.79
33,C000403,United Arab Emirates,Whole Milk,Dairy & Eggs,Dairy/eggs,1,7.45,7.45
33,C000403,United Arab Emirates,Beverages,Beverages,Non-alcoholic,1,38.8,38.8
33,C000403,United Arab Emirates,Sugar,Pantry,Staples,1,7.28,7.28
34,C002074,United Arab Emirates,Pork,Meat & Seafood,Fresh meat,1,37.2,37.2
34,C002074,United Arab Emirates,Berries,Produce,Fruit,1,12.77,12.77
34,C002074,United Arab Emirates,Other Vegetables,Produce,Vegetables & herbs,1,8.24,8.24
34,C002074,United Arab Emirates,Whole Milk,Dairy & Eggs,Dairy/eggs,1,8.07,8.07
34,C002074,United Arab Emirates,Whipped/Sour Cream,Dairy & Eggs,Dairy/eggs,2,6.27,12.54
34,C002074,United Arab Emirates,Artif. Sweetener,Pantry,Condiments & spreads,1,9.41,9.41
34,C002074,United Arab Emirates,Soda,Beverages,Non-alcoholic,6,45.21,271.26
34,C002074,United Arab Emirates,Abrasive Cleaner,Household,Cleaning & laundry,1,16.92,16.92
35,C001612,Qatar,Beef,Meat & Seafood,Fresh meat,2,38.88,77.76
35,C001612,Qatar,Grapes,Produce,Fruit,2,6.48,12.96
35,C001612,Qatar,Detergent,Household,Cleaning & laundry,1,37.64,37.64
36,C000854,United Arab Emirates,Pastry,Bakery,Bread & baked goods,1,6.26,6.26
36,C000854,United Arab Emirates,Soda,Beverages,Non-alcoholic,1,37.91,37.91
37,C000540,Saudi Arabia,Fruit/Vegetable Juice,Beverages,Non-alcoholic,1,35.68,35.68
38,C000467,Kuwait,Canned Beer,Beverages,Alcohol,1,43.14,43.14
39,C001515,Oman,Root Vegetables,Produce,Vegetables & herbs,1,5.46,5.46
39,C001515,Oman,Other Vegetables,Produce,Vegetables & herbs,2,7.17,14.34
39,C001515,Oman,Whole Milk,Dairy & Eggs,Dairy/eggs,1,6.76,6.76
39,C001515,Oman,Dessert,Prepared foods,Ready-to-eat,1,15.46,15.46
40,C001614,United Arab Emirates,Citrus Fruit,Produce,Fruit,2,5.68,11.36
40,C001614,United Arab Emirates,Zwieback,Bakery,Bread & baked goods,1,6.06,6.06
40,C001614,United Arab Emirates,Newspapers,Household,General merchandise,1,13.7,13.7
41,C000390,Qatar,Sausage,Meat & Seafood,Deli & processed,1,20.72,20.72
41,C000390,Qatar,Rolls/Buns,Bakery,Bread & baked goods,1,5.12,5.12
41,C000390,Qatar,Soda,Beverages,Non-alcoholic,1,51.97,51.97
41,C000390,Qatar,Canned Beer,Beverages,Alcohol,1,46.91,46.91
41,C000390,Qatar,Specialty Bar,Snacks & Sweets,Snacks/sweets,3,7.05,21.15
41,C000390,Qatar,Shopping Bags,Household,General merchandise,2,0.54,1.08
42,C001313,United Arab Emirates,Tropical Fruit,Produce,Fruit,1,7.79,7.79
42,C001313,United Arab Emirates,Root Vegetables,Produce,Vegetables & herbs,1,5.21,5.21
42,C001313,United Arab Emirates,Whole Milk,Dairy & Eggs,Dairy/eggs,2,8.36,16.72
42,C001313,United Arab Emirates,Yogurt,Dairy & Eggs,Dairy/eggs,1,3.8,3.8
42,C001313,United Arab Emirates,Domestic Eggs,Dairy & Eggs,Dairy/eggs,1,6.9,6.9
42,C001313,United Arab Emirates,Brown Bread,Bakery,Bread & baked goods,1,5.02,5.02
42,C001313,United Arab Emirates,Pastry,Bakery,Bread & baked goods,1,4.37,4.37
42,C001313,United Arab Emirates,Sugar,Pantry,Staples,1,6.81,6.81
42,C001313,United Arab Emirates,Cereals,Pantry,Staples,1,8.5,8.5
42,C001313,United Arab Emirates,Coffee,Beverages,Non-alcoholic,1,35.73,35.73
42,C001313,United Arab Emirates,Soda,Beverages,Non-alcoholic,1,34.89,34.89
42,C001313,United Arab Emirates,Waffles,Bakery,Bread & baked goods,1,5.54,5.54
42,C001313,United Arab Emirates,Candy,Snacks & Sweets,Snacks/sweets,1,4.27,4.27
43,C002128,United Arab Emirates,Berries,Produce,Fruit,1,13.12,13.12
43,C002128,United Arab Emirates,Yogurt,Dairy & Eggs,Dairy/eggs,6,2.72,16.32
44,C001393,Oman,Canned Beer,Beverages,Alcohol,1,35.94,35.94
45,C002449,United Arab Emirates,Butter Milk,Dairy & Eggs,Dairy/eggs,1,4.35,4.35
45,C002449,United Arab Emirates,Yogurt,Dairy & Eggs,Dairy/eggs,4,3.02,12.08
45,C002449,United Arab Emirates,Cream Cheese ,Dairy & Eggs,Dairy/eggs,1,7.38,7.38
45,C002449,United Arab Emirates,Spread Cheese,Dairy & Eggs,Dairy/eggs,1,9.18,9.18
45,C002449,United Arab Emirates,Rolls/Buns,Bakery,Bread & baked goods,1,5.41,5.41
45,C002449,United Arab Emirates,Bottled Water,Beverages,Non-alcoholic,6,47.75,286.5
45,C002449,United Arab Emirates,Soda,Beverages,Non-alcoholic,1,39.95,39.95
45,C002449,United Arab Emirates,Newspapers,Household,General merchandise,1,12.89,12.89
46,C002308,Qatar,Coffee,Beverages,Non-alcoholic,1,45.21,45.21
47,C000174,United Arab Emirates,Pastry,Bakery,Bread & baked goods,1,6.84,6.84
47,C000174,United Arab Emirates,Bottled Water,Beverages,Non-alcoholic,1,64.25,64.25
48,C000659,Saudi Arabia,Rolls/Buns,Bakery,Bread & baked goods,2,3.86,7.72
49,C001975,United Arab Emirates,Misc. Beverages,Beverages,Non-alcoholic,2,57.16,114.32
50,C002752,United Arab Emirates,Root Vegetables,Produce,Vegetables & herbs,2,6.17,12.34
50,C002752,United Arab Emirates,Other Vegetables,Produce,Vegetables & herbs,1,10.76,10.76
50,C002752,United Arab Emirates,Butter,Dairy & Eggs,Dairy/eggs,1,12.95,12.95
50,C002752,United Arab Emirates,Curd,Dairy & Eggs,Dairy/eggs,1,9.39,9.39
50,C002752,United Arab Emirates,Whipped/Sour Cream,Dairy & Eggs,Dairy/eggs,1,8.15,8.15
50,C002752,United Arab Emirates,Uht-Milk,Dairy & Eggs,Dairy/eggs,1,7.61,7.61
50,C002752,United Arab Emirates,Hard Cheese,Dairy & Eggs,Dairy/eggs,1,10.14,10.14
50,C002752,United Arab Emirates,Rolls/Buns,Bakery,Bread & baked goods,1,6.51,6.51
50,C002752,United Arab Emirates,Bottled Water,Beverages,Non-alcoholic,6,47.35,284.1
50,C002752,United Arab Emirates,Long Life Bakery Product,Bakery,Bread & baked goods,1,7.06,7.06
51,C001605,United Arab Emirates,Sausage,Meat & Seafood,Deli & processed,2,21.63,43.26
51,C001605,United Arab Emirates,Rolls/Buns,Bakery,Bread & baked goods,1,7.11,7.11
51,C001605,United Arab Emirates,Cat Food,Pet,Pet supplies,2,14.4,28.8
51,C001605,United Arab Emirates,Newspapers,Household,General merchandise,1,16.22,16.22
52,C002923,United Arab Emirates,Canned Beer,Beverages,Alcohol,1,44.97,44.97
53,C002337,United Arab Emirates,Ham,Meat & Seafood,Deli & processed,1,21.9,21.9
53,C002337,United Arab Emirates,Grapes,Produce,Fruit,1,5.76,5.76
53,C002337,United Arab Emirates,Other Vegetables,Produce,Vegetables & herbs,1,6.22,6.22
53,C002337,United Arab Emirates,Whole Milk,Dairy & Eggs,Dairy/eggs,2,7.49,14.98
54,C001556,United Arab Emirates,Turkey,Meat & Seafood,Fresh meat,1,32.58,32.58
54,C001556,United Arab Emirates,Tropical Fruit,Produce,Fruit,2,10.6,21.2
54,C001556,United Arab Emirates,Other Vegetables,Produce,Vegetables & herbs,1,7.9,7.9
54,C001556,United Arab Emirates,Curd,Dairy & Eggs,Dairy/eggs,1,6.68,6.68
54,C001556,United Arab Emirates,Domestic Eggs,Dairy & Eggs,Dairy/eggs,2,6.57,13.14
54,C001556,United Arab Emirates,Brown Bread,Bakery,Bread & baked goods,1,8.06,8.06
54,C001556,United Arab Emirates,Semi-Finished Bread,Bakery,Bread & baked goods,2,9.5,19.0
54,C001556,United Arab Emirates,Margarine,Dairy & Eggs,Butter & spreads,1,7.57,7.57
54,C001556,United Arab Emirates,Baking Powder,Pantry,Staples,1,10.55,10.55
54,C001556,United Arab Emirates,Fruit/Vegetable Juice,Beverages,Non-alcoholic,1,52.63,52.63
55,C001128,United Arab Emirates,Whole Milk,Dairy & Eggs,Dairy/eggs,1,5.88,5.88
55,C001128,United Arab Emirates,Yogurt,Dairy & Eggs,Dairy/eggs,1,2.58,2.58
55,C001128,United Arab Emirates,Processed Cheese,Dairy & Eggs,Dairy/eggs,1,7.22,7.22
55,C001128,United Arab Emirates,Pickled Vegetables,Pantry,Pickles & preserved,1,9.14,9.14
55,C001128,United Arab Emirates,Soda,Beverages,Non-alcoholic,1,38.27,38.27
56,C001485,United Arab Emirates,Whole Milk,Dairy & Eggs,Dairy/eggs,2,6.84,13.68
56,C001485,United Arab Emirates,Curd,Dairy & Eggs,Dairy/eggs,2,7.28,14.56
56,C001485,United Arab Emirates,Yogurt,Dairy & Eggs,Dairy/eggs,4,3.54,14.16
56,C001485,United Arab Emirates,Pastry,Bakery,Bread & baked goods,1,6.04,6.04
57,C000476,United Arab Emirates,Packaged Fruit/Vegetables,Produce,Vegetables & herbs,1,7.33,7.33
57,C000476,United Arab Emirates,Brown Bread,Bakery,Bread & baked goods,1,4.57,4.57
57,C000476,United Arab Emirates,Canned Beer,Beverages,Alcohol,1,38.61,38.61
58,C001754,Oman,Rolls/Buns,Bakery,Bread & baked goods,1,4.07,4.07
58,C001754,Oman,Oil,Pantry,Staples,1,7.83,7.83
58,C001754,Oman,Bottled Water,Beverages,Non-alcoholic,1,32.59,32.59
58,C001754,Oman,Chewing Gum,Snacks & Sweets,Snacks/sweets,1,1.72,1.72
58,C001754,Oman,Chocolate Marshmallow,Snacks & Sweets,Snacks/sweets,2,6.07,12.14
58,C001754,Oman,Hygiene Articles,Personal care,Health & beauty,1,13.9,13.9
58,C001754,Oman,Napkins,Household,Paper goods,1,10.82,10.82
59,C000810,Saudi Arabia,Ham,Meat & Seafood,Deli & processed,1,19.73,19.73
59,C000810,Saudi Arabia,Beef,Meat & Seafood,Fresh meat,1,35.21,35.21
59,C000810,Saudi Arabia,Whipped/Sour Cream,Dairy & Eggs,Dairy/eggs,1,7.06,7.06
59,C000810,Saudi Arabia,Ice Cream,Frozen,Desserts,1,13.39,13.39
59,C000810,Saudi Arabia,Rolls/Buns,Bakery,Bread & baked goods,1,6.12,6.12
59,C000810,Saudi Arabia,Cat Food,Pet,Pet supplies,1,12.35,12.35
60,C002125,Saudi Arabia,Rolls/Buns,Bakery,Bread & baked goods,2,4.0,8.0
60,C002125,Saudi Arabia,Pastry,Bakery,Bread & baked goods,1,5.09,5.09
60,C002125,Saudi Arabia,Sugar,Pantry,Staples,2,6.27,12.54
61,C000996,United Arab Emirates,Other Vegetables,Produce,Vegetables & herbs,1,6.48,6.48
61,C000996,United Arab Emirates,Whole Milk,Dairy & Eggs,Dairy/eggs,2,5.57,11.14
61,C000996,United Arab Emirates,Frozen Vegetables,Frozen,Frozen foods,1,11.01,11.01
61,C000996,United Arab Emirates,Canned Fish,Pantry,Canned goods,1,9.33,9.33
61,C000996,United Arab Emirates,Salty Snack,Snacks & Sweets,Snacks/sweets,1,8.56,8.56
61,C000996,United Arab Emirates,Seasonal Products,Prepared foods,Ready-to-eat,1,15.9,15.9
61,C000996,United Arab Emirates,Detergent,Household,Cleaning & laundry,1,23.51,23.51
62,C000371,Bahrain,Sausage,Meat & Seafood,Deli & processed,1,15.27,15.27
62,C000371,Bahrain,Pastry,Bakery,Bread & baked goods,1,4.43,4.43
63,C001231,Oman,Sausage,Meat & Seafood,Deli & processed,1,13.38,13.38
63,C001231,Oman,Beef,Meat & Seafood,Fresh meat,1,29.04,29.04
63,C001231,Oman,Whole Milk,Dairy & Eggs,Dairy/eggs,1,6.47,6.47
64,C000145,Kuwait,Frankfurter,Meat & Seafood,Deli & processed,2,24.45,48.9
64,C000145,Kuwait,Tropical Fruit,Produce,Fruit,1,7.05,7.05
64,C000145,Kuwait,Rolls/Buns,Bakery,Bread & baked goods,2,3.67,7.34
64,C000145,Kuwait,Brown Bread,Bakery,Bread & baked goods,1,5.62,5.62
64,C000145,Kuwait,Sugar,Pantry,Staples,1,5.86,5.86
65,C000577,United Arab Emirates,Rolls/Buns,Bakery,Bread & baked goods,1,4.29,4.29
65,C000577,United Arab Emirates,Pastry,Bakery,Bread & baked goods,1,4.93,4.93
65,C000577,United Arab Emirates,Soda,Beverages,Non-alcoholic,2,36.1,72.2
66,C002189,Saudi Arabia,Whole Milk,Dairy & Eggs,Dairy/eggs,1,5.92,5.92
67,C002590,United Arab Emirates,Curd Cheese,Dairy & Eggs,Dairy/eggs,1,5.51,5.51
67,C002590,United Arab Emirates,Coffee,Beverages,Non-alcoholic,1,48.67,48.67
68,C003063,United Arab Emirates,Red/Blush Wine,Beverages,Alcohol,1,52.74,52.74
68,C003063,United Arab Emirates,Newspapers,Household,General merchandise,1,12.57,12.57
69,C002444,United Arab Emirates,Sausage,Meat & Seafood,Deli & processed,1,19.88,19.88
69,C002444,United Arab Emirates,Whole Milk,Dairy & Eggs,Dairy/eggs,1,8.37,8.37
69,C002444,United Arab Emirates,Curd,Dairy & Eggs,Dairy/eggs,1,5.4,5.4
70,C002179,United Arab Emirates,Tropical Fruit,Produce,Fruit,1,7.78,7.78
70,C002179,United Arab Emirates,Pip Fruit,Produce,Fruit,1,7.42,7.42
70,C002179,United Arab Emirates,Berries,Produce,Fruit,1,17.55,17.55
70,C002179,United Arab Emirates,Whole Milk,Dairy & Eggs,Dairy/eggs,1,6.31,6.31
70,C002179,United Arab Emirates,Frozen Potato Products,Frozen,Potatoes,1,11.85,11.85
70,C002179,United Arab Emirates,Rolls/Buns,Bakery,Bread & baked goods,1,5.59,5.59
70,C002179,United Arab Emirates,Pickled Vegetables,Pantry,Pickles & preserved,1,10.73,10.73
70,C002179,United Arab Emirates,Chocolate,Snacks & Sweets,Snacks/sweets,1,5.85,5.85
71,C002664,United Arab Emirates,Red/Blush Wine,Beverages,Alcohol,1,49.62,49.62
72,C001890,Bahrain,Whole Milk,Dairy & Eggs,Dairy/eggs,1,5.38,5.38
72,C001890,Bahrain,Butter,Dairy & Eggs,Dairy/eggs,1,7.91,7.91
72,C001890,Bahrain,Margarine,Dairy & Eggs,Butter & spreads,3,6.15,18.45
72,C001890,Bahrain,Specialty Fat,Dairy & Eggs,Butter & spreads,3,6.51,19.53
72,C001890,Bahrain,Specialty Chocolate,Snacks & Sweets,Snacks/sweets,1,5.07,5.07
72,C001890,Bahrain,Candles,Household,General merchandise,1,13.39,13.39
72,C001890,Bahrain,Flower (Seeds),Household,Garden,1,14.29,14.29
73,C002416,United Arab Emirates,Frankfurter,Meat & Seafood,Deli & processed,1,35.77,35.77
73,C002416,United Arab Emirates,Citrus Fruit,Produce,Fruit,1,7.83,7.83
73,C002416,United Arab Emirates,Whole Milk,Dairy & Eggs,Dairy/eggs,2,8.83,17.66
73,C002416,United Arab Emirates,Domestic Eggs,Dairy & Eggs,Dairy/eggs,1,8.77,8.77
73,C002416,United Arab Emirates,Oil,Pantry,Staples,1,11.46,11.46
73,C002416,United Arab Emirates,Sparkling Wine,Beverages,Alcohol,1,78.06,78.06
73,C002416,United Arab Emirates,Specialty Chocolate,Snacks & Sweets,Snacks/sweets,1,7.45,7.45
73,C002416,United Arab Emirates,Newspapers,Household,General merchandise,1,22.55,22.55
74,C000927,Saudi Arabia,Whole Milk,Dairy & Eggs,Dairy/eggs,2,7.33,14.66
74,C000927,Saudi Arabia,Meat Spreads,Meat & Seafood,Deli & processed,1,25.47,25.47
74,C000927,Saudi Arabia,Soda,Beverages,Non-alcoholic,1,31.68,31.68
75,C000696,United Arab Emirates,Frozen Potato Products,Frozen,Potatoes,1,11.74,11.74
76,C001949,United Arab Emirates,Other Vegetables,Produce,Vegetables & herbs,2,8.48,16.96
76,C001949,United Arab Emirates,Whole Milk,Dairy & Eggs,Dairy/eggs,1,7.54,7.54
76,C001949,United Arab Emirates,Rolls/Buns,Bakery,Bread & baked goods,1,5.55,5.55
76,C001949,United Arab Emirates,Sugar,Pantry,Staples,2,5.97,11.94
77,C001390,Qatar,Citrus Fruit,Produce,Fruit,3,7.79,23.37
77,C001390,Qatar,Whole Milk,Dairy & Eggs,Dairy/eggs,1,8.6,8.6
77,C001390,Qatar,Curd,Dairy & Eggs,Dairy/eggs,2,7.15,14.3
77,C001390,Qatar,Butter Milk,Dairy & Eggs,Dairy/eggs,1,5.46,5.46
77,C001390,Qatar,Pastry,Bakery,Bread & baked goods,1,7.2,7.2
78,C000492,United Arab Emirates,Flour,Pantry,Staples,1,8.48,8.48
78,C000492,United Arab Emirates,Salt,Pantry,Staples,1,9.04,9.04
78,C000492,United Arab Emirates,Bottled Water,Beverages,Non-alcoholic,6,37.01,222.06
78,C000492,United Arab Emirates,Fruit/Vegetable Juice,Beverages,Non-alcoholic,1,36.35,36.35
78,C000492,United Arab Emirates,Bottled Beer,Beverages,Alcohol,2,38.18,76.36
79,C001457,United Arab Emirates,Sugar,Pantry,Staples,1,9.5,9.5
79,C001457,United Arab Emirates,Bottled Water,Beverages,Non-alcoholic,1,34.12,34.12
79,C001457,United Arab Emirates,Soda,Beverages,Non-alcoholic,6,44.24,265.44
79,C001457,United Arab Emirates,Bottled Beer,Beverages,Alcohol,6,46.46,278.76
80,C002808,Saudi Arabia,Frozen Meals,Frozen,Frozen foods,1,11.25,11.25
80,C002808,Saudi Arabia,Coffee,Beverages,Non-alcoholic,1,34.57,34.57
81,C002665,Kuwait,Chocolate,Snacks & Sweets,Snacks/sweets,1,6.22,6.22
82,C003063,United Arab Emirates,Root Vegetables,Produce,Vegetables & herbs,3,4.84,14.52
82,C003063,United Arab Emirates,Whole Milk,Dairy & Eggs,Dairy/eggs,1,8.0,8.0
82,C003063,United Arab Emirates,Frozen Vegetables,Frozen,Frozen foods,1,9.31,9.31
82,C003063,United Arab Emirates,Domestic Eggs,Dairy & Eggs,Dairy/eggs,1,7.21,7.21
82,C003063,United Arab Emirates,Rolls/Buns,Bakery,Bread & baked goods,2,4.47,8.94
