antecedents,antecedent support,consequents,consequent support,support,confidence,lift,rule
Other Vegetables | Root Vegetables,0.047995915241256064,Whole Milk,0.25555271891753895,0.023742660199131987,0.49468085106382975,1.9357291644525685,"Other Vegetables, Root Vegetables -> Whole Milk"
Whole Milk,0.25555271891753895,Other Vegetables | Root Vegetables,0.047995915241256064,0.023742660199131987,0.0929070929070929,1.9357291644525685,"Whole Milk -> Other Vegetables, Root Vegetables"
Domestic Eggs,0.06382435537401072,Whole Milk,0.25555271891753895,0.031273934133265256,0.49000000000000005,1.9174125874125876,Domestic Eggs -> Whole Milk
Whole Milk,0.25555271891753895,Domestic Eggs,0.06382435537401072,0.031273934133265256,0.12237762237762238,1.9174125874125874,Whole Milk -> Domestic Eggs
Whole Milk,0.25555271891753895,Curd,0.05322951238192494,0.026040336992596374,0.10189810189810189,1.9143158999274106,Whole Milk -> Curd
Curd,0.05322951238192494,Whole Milk,0.25555271891753895,0.026040336992596374,0.48920863309352514,1.9143158999274104,Curd -> Whole Milk
Pork,0.057058973704365586,Other Vegetables,0.1922389583865203,0.020679091141179475,0.36241610738255037,1.8852375731971445,Pork -> Other Vegetables
Other Vegetables,0.1922389583865203,Pork,0.057058973704365586,0.020679091141179475,0.10756972111553785,1.8852375731971442,Other Vegetables -> Pork
Citrus Fruit,0.08360990553995405,Yogurt,0.13709471534337503,0.021572632116415625,0.2580152671755725,1.8820219767722859,Citrus Fruit -> Yogurt
Yogurt,0.13709471534337503,Citrus Fruit,0.08360990553995405,0.021572632116415625,0.15735567970204842,1.8820219767722859,Yogurt -> Citrus Fruit
Citrus Fruit,0.08360990553995405,Other Vegetables,0.1922389583865203,0.028848608629052846,0.3450381679389313,1.7948399785083582,Citrus Fruit -> Other Vegetables
Other Vegetables,0.1922389583865203,Citrus Fruit,0.08360990553995405,0.028848608629052846,0.15006640106241698,1.794839978508358,Other Vegetables -> Citrus Fruit
Sausage,0.09318355884605566,Rolls/Buns,0.18483533316313505,0.03089098800102119,0.3315068493150685,1.7935253159766897,Sausage -> Rolls/Buns
Rolls/Buns,0.18483533316313505,Sausage,0.09318355884605566,0.03089098800102119,0.16712707182320444,1.7935253159766897,Rolls/Buns -> Sausage
Domestic Eggs,0.06382435537401072,Other Vegetables,0.1922389583865203,0.021827929537911666,0.34199999999999997,1.779035856573705,Domestic Eggs -> Other Vegetables
Other Vegetables,0.1922389583865203,Domestic Eggs,0.06382435537401072,0.021827929537911666,0.11354581673306773,1.779035856573705,Other Vegetables -> Domestic Eggs
Margarine,0.05935665049782997,Other Vegetables,0.1922389583865203,0.02029614500893541,0.3419354838709678,1.7787002527524314,Margarine -> Other Vegetables
Other Vegetables,0.1922389583865203,Margarine,0.05935665049782997,0.02029614500893541,0.10557768924302788,1.7787002527524312,Other Vegetables -> Margarine
Root Vegetables,0.11003318866479449,Whole Milk,0.25555271891753895,0.04991064590247638,0.4535962877030162,1.774961697235479,Root Vegetables -> Whole Milk
Whole Milk,0.25555271891753895,Root Vegetables,0.11003318866479449,0.04991064590247638,0.19530469530469527,1.7749616972354787,Whole Milk -> Root Vegetables
Yogurt,0.13709471534337503,Root Vegetables,0.11003318866479449,0.026678580546336483,0.19459962756052143,1.7685539237924883,Yogurt -> Root Vegetables
Root Vegetables,0.11003318866479449,Yogurt,0.13709471534337503,0.026678580546336483,0.24245939675174014,1.768553923792488,Root Vegetables -> Yogurt
Whipped/Sour Cream,0.07275976512637222,Whole Milk,0.25555271891753895,0.03280571866224151,0.4508771929824561,1.7643216432690114,Whipped/Sour Cream -> Whole Milk
Whole Milk,0.25555271891753895,Whipped/Sour Cream,0.07275976512637222,0.03280571866224151,0.12837162837162835,1.7643216432690114,Whole Milk -> Whipped/Sour Cream
Tropical Fruit,0.1041613479703855,Other Vegetables,0.1922389583865203,0.034975746744957875,0.3357843137254902,1.7467027315574304,Tropical Fruit -> Other Vegetables
Other Vegetables,0.1922389583865203,Tropical Fruit,0.1041613479703855,0.034975746744957875,0.18193891102257634,1.7467027315574302,Other Vegetables -> Tropical Fruit
Frozen Vegetables,0.047612969109012,Whole Milk,0.25555271891753895,0.020934388562675516,0.4396782841823056,1.7204993398022885,Frozen Vegetables -> Whole Milk
Whole Milk,0.25555271891753895,Frozen Vegetables,0.047612969109012,0.020934388562675516,0.0819180819180819,1.7204993398022885,Whole Milk -> Frozen Vegetables
Pip Fruit,0.07633392902731682,Other Vegetables,0.1922389583865203,0.024763849885116162,0.32441471571906355,1.687559683229179,Pip Fruit -> Other Vegetables
Other Vegetables,0.1922389583865203,Pip Fruit,0.07633392902731682,0.024763849885116162,0.12881806108897742,1.687559683229179,Other Vegetables -> Pip Fruit
Margarine,0.05935665049782997,Whole Milk,0.25555271891753895,0.025274444728108247,0.42580645161290326,1.6662176533144275,Margarine -> Whole Milk
Whole Milk,0.25555271891753895,Margarine,0.05935665049782997,0.025274444728108247,0.0989010989010989,1.6662176533144275,Whole Milk -> Margarine
Yogurt,0.13709471534337503,Other Vegetables,0.1922389583865203,0.04288996681133521,0.31284916201117324,1.6273973009266476,Yogurt -> Other Vegetables
Other Vegetables,0.1922389583865203,Yogurt,0.13709471534337503,0.04288996681133521,0.22310756972111553,1.6273973009266471,Other Vegetables -> Yogurt
Yogurt,0.13709471534337503,Whole Milk,0.25555271891753895,0.056803676282869545,0.41433891992551214,1.621344205143088,Yogurt -> Whole Milk
Whole Milk,0.25555271891753895,Yogurt,0.13709471534337503,0.056803676282869545,0.22227772227772227,1.6213442051430877,Whole Milk -> Yogurt
Whole Milk,0.25555271891753895,Tropical Fruit,0.1041613479703855,0.04263466938983916,0.16683316683316682,1.6016801825625355,Whole Milk -> Tropical Fruit
Tropical Fruit,0.1041613479703855,Whole Milk,0.25555271891753895,0.04263466938983916,0.40931372549019607,1.6016801825625353,Tropical Fruit -> Whole Milk
Pip Fruit,0.07633392902731682,Whole Milk,0.25555271891753895,0.03089098800102119,0.40468227424749165,1.5835569113161085,Pip Fruit -> Whole Milk
Whole Milk,0.25555271891753895,Pip Fruit,0.07633392902731682,0.03089098800102119,0.12087912087912088,1.5835569113161085,Whole Milk -> Pip Fruit
Yogurt,0.13709471534337503,Sausage,0.09318355884605566,0.02016849629818739,0.14711359404096835,1.5787505420780084,Yogurt -> Sausage
Sausage,0.09318355884605566,Yogurt,0.13709471534337503,0.02016849629818739,0.21643835616438356,1.5787505420780081,Sausage -> Yogurt
Beef,0.05093183558846056,Whole Milk,0.25555271891753895,0.02042379371968343,0.40100250626566414,1.569157659383223,Beef -> Whole Milk
Whole Milk,0.25555271891753895,Beef,0.05093183558846056,0.02042379371968343,0.0799200799200799,1.5691576593832228,Whole Milk -> Beef
Other Vegetables,0.1922389583865203,Fruit/Vegetable Juice,0.0726321164156242,0.02118968598417156,0.1102257636122178,1.5175898631601306,Other Vegetables -> Fruit/Vegetable Juice
Fruit/Vegetable Juice,0.0726321164156242,Other Vegetables,0.1922389583865203,0.02118968598417156,0.29173989455184535,1.5175898631601303,Fruit/Vegetable Juice -> Other Vegetables
Other Vegetables,0.1922389583865203,Whole Milk,0.25555271891753895,0.07365330610160838,0.38313413014608233,1.499237150631573,Other Vegetables -> Whole Milk
Whole Milk,0.25555271891753895,Other Vegetables,0.1922389583865203,0.07365330610160838,0.2882117882117882,1.499237150631573,Whole Milk -> Other Vegetables
Bottled Water,0.11143732448302272,Soda,0.1774317079397498,0.029614500893540976,0.26575028636884307,1.4977609664845444,Bottled Water -> Soda
Soda,0.1774317079397498,Bottled Water,0.11143732448302272,0.029614500893540976,0.1669064748201439,1.4977609664845444,Soda -> Bottled Water
Bottled Water,0.11143732448302272,Yogurt,0.13709471534337503,0.022849119223895837,0.20504009163802978,1.4956090110729285,Bottled Water -> Yogurt
Yogurt,0.13709471534337503,Bottled Water,0.11143732448302272,0.022849119223895837,0.16666666666666666,1.4956090110729285,Yogurt -> Bottled Water
Whole Milk,0.25555271891753895,Brown Bread,0.06497319377074291,0.024508552463620117,0.0959040959040959,1.4760563601428043,Whole Milk -> Brown Bread
Brown Bread,0.06497319377074291,Whole Milk,0.25555271891753895,0.024508552463620117,0.37721021611001965,1.476056360142804,Brown Bread -> Whole Milk
Soda,0.1774317079397498,Sausage,0.09318355884605566,0.024380903752872097,0.13741007194244606,1.4746171282152363,Soda -> Sausage
Sausage,0.09318355884605566,Soda,0.1774317079397498,0.024380903752872097,0.26164383561643834,1.474617128215236,Sausage -> Soda
Pork,0.057058973704365586,Whole Milk,0.25555271891753895,0.02131733469491958,0.37360178970917224,1.4619362740168107,Pork -> Whole Milk
Whole Milk,0.25555271891753895,Pork,0.057058973704365586,0.02131733469491958,0.08341658341658341,1.4619362740168107,Whole Milk -> Pork
Sausage,0.09318355884605566,Other Vegetables,0.1922389583865203,0.025785039571100333,0.2767123287671233,1.4394185813822338,Sausage -> Other Vegetables
Other Vegetables,0.1922389583865203,Sausage,0.09318355884605566,0.025785039571100333,0.1341301460823373,1.4394185813822336,Other Vegetables -> Sausage
Citrus Fruit,0.08360990553995405,Whole Milk,0.25555271891753895,0.030380393158029102,0.36335877862595417,1.421854481396466,Citrus Fruit -> Whole Milk
Whole Milk,0.25555271891753895,Citrus Fruit,0.08360990553995405,0.030380393158029102,0.11888111888111887,1.4218544813964658,Whole Milk -> Citrus Fruit
Fruit/Vegetable Juice,0.0726321164156242,Whole Milk,0.25555271891753895,0.02629563441409242,0.3620386643233744,1.4166887593952622,Fruit/Vegetable Juice -> Whole Milk
Whole Milk,0.25555271891753895,Fruit/Vegetable Juice,0.0726321164156242,0.02629563441409242,0.1028971028971029,1.4166887593952622,Whole Milk -> Fruit/Vegetable Juice
Whole Milk,0.25555271891753895,Pastry,0.08718406944089865,0.031273934133265256,0.12237762237762238,1.4036695369052616,Whole Milk -> Pastry
Pastry,0.08718406944089865,Whole Milk,0.25555271891753895,0.031273934133265256,0.35871156661786235,1.4036695369052614,Pastry -> Whole Milk
Soda,0.1774317079397498,Shopping Bags,0.09675772274700026,0.02387030890988001,0.13453237410071944,1.3904045101649554,Soda -> Shopping Bags
Shopping Bags,0.09675772274700026,Soda,0.1774317079397498,0.02387030890988001,0.24670184696569922,1.3904045101649551,Shopping Bags -> Soda
Whole Milk,0.25555271891753895,Newspapers,0.07965279550676538,0.027955067653816695,0.10939060939060938,1.3733430031506955,Whole Milk -> Newspapers
Newspapers,0.07965279550676538,Whole Milk,0.25555271891753895,0.027955067653816695,0.35096153846153844,1.3733430031506952,Newspapers -> Whole Milk
Pastry,0.08718406944089865,Soda,0.1774317079397498,0.020806739851927495,0.23865300146412882,1.3450414485395576,Pastry -> Soda
Soda,0.1774317079397498,Pastry,0.08718406944089865,0.020806739851927495,0.11726618705035971,1.3450414485395576,Soda -> Pastry
Pastry,0.08718406944089865,Rolls/Buns,0.18483533316313505,0.021572632116415625,0.2474377745241581,1.3386930425568058,Pastry -> Rolls/Buns
Rolls/Buns,0.18483533316313505,Pastry,0.08718406944089865,0.021572632116415625,0.11671270718232045,1.3386930425568058,Rolls/Buns -> Pastry
Yogurt,0.13709471534337503,Rolls/Buns,0.18483533316313505,0.033443962215981615,0.24394785847299813,1.3198118254678641,Yogurt -> Rolls/Buns
Rolls/Buns,0.18483533316313505,Yogurt,0.13709471534337503,0.033443962215981615,0.180939226519337,1.3198118254678641,Rolls/Buns -> Yogurt
Pastry,0.08718406944089865,Other Vegetables,0.1922389583865203,0.02208322695940771,0.25329428989751096,1.3176012397457508,Pastry -> Other Vegetables
Other Vegetables,0.1922389583865203,Pastry,0.08718406944089865,0.02208322695940771,0.1148738379814077,1.3176012397457508,Other Vegetables -> Pastry
Sausage,0.09318355884605566,Whole Milk,0.25555271891753895,0.03012509573653306,0.3232876712328767,1.2650527554637143,Sausage -> Whole Milk
Whole Milk,0.25555271891753895,Sausage,0.09318355884605566,0.03012509573653306,0.11788211788211787,1.2650527554637143,Whole Milk -> Sausage
Tropical Fruit,0.1041613479703855,Rolls/Buns,0.18483533316313505,0.024253255042124073,0.23284313725490197,1.2597328295959267,Tropical Fruit -> Rolls/Buns
Rolls/Buns,0.18483533316313505,Tropical Fruit,0.1041613479703855,0.024253255042124073,0.13121546961325967,1.2597328295959267,Rolls/Buns -> Tropical Fruit
Shopping Bags,0.09675772274700026,Other Vegetables,0.1922389583865203,0.02297676793464386,0.23746701846965698,1.235270001787047,Shopping Bags -> Other Vegetables
Other Vegetables,0.1922389583865203,Shopping Bags,0.09675772274700026,0.02297676793464386,0.11952191235059761,1.235270001787047,Other Vegetables -> Shopping Bags
Whole Milk,0.25555271891753895,Bottled Water,0.11143732448302272,0.0351033954557059,0.13736263736263737,1.2326447893458203,Whole Milk -> Bottled Water
Bottled Water,0.11143732448302272,Whole Milk,0.25555271891753895,0.0351033954557059,0.3150057273768614,1.2326447893458201,Bottled Water -> Whole Milk
Whole Milk,0.25555271891753895,Rolls/Buns,0.18483533316313505,0.057569568547357675,0.22527472527472528,1.2187860482059378,Whole Milk -> Rolls/Buns
Rolls/Buns,0.18483533316313505,Whole Milk,0.25555271891753895,0.057569568547357675,0.31146408839779005,1.2187860482059376,Rolls/Buns -> Whole Milk
Rolls/Buns,0.18483533316313505,Soda,0.1774317079397498,0.03957110033188665,0.21408839779005526,1.206596049127549,Rolls/Buns -> Soda
Soda,0.1774317079397498,Rolls/Buns,0.18483533316313505,0.03957110033188665,0.22302158273381295,1.2065960491275487,Soda -> Rolls/Buns
Root Vegetables,0.11003318866479449,Rolls/Buns,0.18483533316313505,0.024380903752872097,0.22157772621809746,1.1987844662932152,Root Vegetables -> Rolls/Buns
Rolls/Buns,0.18483533316313505,Root Vegetables,0.11003318866479449,0.024380903752872097,0.1319060773480663,1.1987844662932152,Rolls/Buns -> Root Vegetables
Bottled Water,0.11143732448302272,Other Vegetables,0.1922389583865203,0.025274444728108247,0.2268041237113402,1.1798031242726688,Bottled Water -> Other Vegetables
Other Vegetables,0.1922389583865203,Bottled Water,0.11143732448302272,0.025274444728108247,0.13147410358565736,1.1798031242726688,Other Vegetables -> Bottled Water
Rolls/Buns,0.18483533316313505,Other Vegetables,0.1922389583865203,0.04161347970385499,0.22513812154696133,1.171136815537115,Rolls/Buns -> Other Vegetables
Other Vegetables,0.1922389583865203,Rolls/Buns,0.18483533316313505,0.04161347970385499,0.21646746347941564,1.1711368155371147,Other Vegetables -> Rolls/Buns
Rolls/Buns,0.18483533316313505,Bottled Water,0.11143732448302272,0.02387030890988001,0.1291436464088398,1.1588904077512612,Rolls/Buns -> Bottled Water
Bottled Water,0.11143732448302272,Rolls/Buns,0.18483533316313505,0.02387030890988001,0.21420389461626577,1.158890407751261,Bottled Water -> Rolls/Buns
Yogurt,0.13709471534337503,Soda,0.1774317079397498,0.027699770232320654,0.20204841713221602,1.1387390646142306,Yogurt -> Soda
Soda,0.1774317079397498,Yogurt,0.13709471534337503,0.027699770232320654,0.1561151079136691,1.1387390646142306,Soda -> Yogurt
Tropical Fruit,0.1041613479703855,Soda,0.1774317079397498,0.020679091141179475,0.1985294117647059,1.118906051629285,Tropical Fruit -> Soda
Soda,0.1774317079397498,Tropical Fruit,0.1041613479703855,0.020679091141179475,0.11654676258992806,1.1189060516292848,Soda -> Tropical Fruit
Bottled Beer,0.08143987745723769,Whole Milk,0.25555271891753895,0.02118968598417156,0.26018808777429464,1.0181386012107014,Bottled Beer -> Whole Milk
Whole Milk,0.25555271891753895,Bottled Beer,0.08143987745723769,0.02118968598417156,0.08291708291708291,1.0181386012107014,Whole Milk -> Bottled Beer
